Timestamp,Hour_00,Hour_01,Hour_02,Hour_03,Hour_04,Hour_05,Hour_06,Hour_07,Hour_08,Hour_09,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
2024-09-03,134.976393,133.753677,132.051603,130.788464,131.823308,134.939947,146.656836,150.308054,172.614379,168.198678,166.359699,168.945639,166.332501,161.594174,163.850834,165.743824,168.995749,175.664686,173.931393,170.923185,167.457780,156.949435,152.818556,148.204630
2024-09-04,134.846601,135.716547,137.227190,132.513577,130.634403,135.635510,153.544977,159.704566,182.382067,175.336973,178.342356,179.547007,179.722598,176.056921,169.427106,176.701978,179.345104,182.667885,189.783937,182.654872,179.785897,162.421842,158.560841,148.793722
2024-09-05,138.530247,132.991858,133.943518,135.884945,136.420214,133.838424,155.218197,158.530664,178.783661,174.623117,173.602233,173.377341,173.798786,172.952611,170.067557,174.467996,173.912858,174.932732,186.762669,176.689567,176.634845,163.405577,156.726231,149.679919
2024-09-06,134.281236,133.352204,136.212089,136.579436,131.185690,136.108929,144.396940,155.045180,165.517331,165.102581,162.631265,169.044233,165.787584,163.310589,160.347428,166.726212,167.189111,167.712637,180.012242,169.278263,169.064053,156.501726,153.121720,144.934716
2024-09-07,139.982462,136.596302,138.159364,138.245837,135.920046,141.327322,154.016943,170.516350,196.129889,189.256077,184.021159,187.196905,183.763679,184.584184,177.254930,191.510438,186.630598,190.934930,196.722230,189.223168,185.720444,168.098522,163.059179,156.607257
2024-09-08,132.771540,133.648894,132.355379,131.716641,130.532507,134.360876,152.784087,166.386426,182.433351,177.424647,174.763292,183.555876,181.571005,175.161336,174.661108,178.500354,178.663965,190.605944,187.711403,183.157340,181.575642,164.392643,159.808537,154.244017
2024-09-09,133.114004,134.931111,132.257976,131.958374,134.892669,133.847096,148.229242,156.498678,164.347933,163.234411,160.552742,165.058234,159.420049,162.846604,157.104988,164.558765,162.031450,167.054991,172.632060,162.719241,165.660163,155.900408,150.641431,147.182135
2024-09-10,133.962799,135.002803,133.254595,133.861815,130.718209,137.105199,144.858215,148.572960,153.891257,149.592494,153.799124,151.361539,153.524845,151.669340,151.030162,150.114367,151.141791,157.301510,159.206805,158.274107,153.737657,144.823265,143.879019,142.024908
2024-09-11,135.198648,134.296067,132.234186,134.001127,135.511523,135.185430,149.503321,160.604084,182.792465,181.826415,176.545358,182.317308,178.741924,174.492375,175.587072,176.789158,180.165333,182.951591,182.464781,182.400572,178.563569,164.325952,160.815205,153.338848
2024-09-12,137.180021,134.101311,133.259877,134.244565,135.071684,137.757771,147.704392,156.541403,175.854337,167.070437,167.966247,165.956343,167.183854,166.558401,162.755490,168.604239,168.491759,171.015677,171.054286,169.280452,166.438851,156.591707,152.798931,146.663220
